-0.9228;1.019498;0.941974;0.942843
-0.8520;1.018180;0.938641;0.939512
-0.7813;1.016961;0.935001;0.936069
-0.7104;1.015574;0.931134;0.932464
-0.6395;1.014108;0.926956;0.928631
-0.5685;1.012603;0.922486;0.924466
-0.4974;1.010970;0.917640;0.919913
-0.4262;1.009267;0.912568;0.914971
-0.3548;1.007427;0.907136;0.909679
-0.2834;1.005489;0.901476;0.904074
-0.2119;1.003422;0.895378;0.898151
-0.1401;1.001208;0.889008;0.891921
-0.0683;0.998865;0.882436;0.885376
0.0036;0.996444;0.875659;0.878512
0.0757;0.993806;0.868536;0.871357
0.1480;0.991040;0.861373;0.863957
0.2205;0.988067;0.854103;0.856382
0.2931;0.984986;0.846787;0.848689
0.3659;0.981707;0.839433;0.840919
0.4388;0.978281;0.832035;0.833112
0.5119;0.974688;0.824909;0.825301
0.5852;0.970917;0.817664;0.817507
0.6587;0.966989;0.810528;0.809766
0.7323;0.962883;0.803570;0.802086
0.8061;0.958610;0.796718;0.794479
0.8800;0.954238;0.789905;0.786905
0.9541;0.949669;0.783259;0.779348
1.0284;0.944903;0.776714;0.771960
1.1028;0.940039;0.770277;0.764885
1.1774;0.934978;0.764001;0.758199
1.2521;0.929818;0.757837;0.751856
1.3271;0.924363;0.751754;0.745677
1.4021;0.918908;0.745636;0.739381
1.4768;0.913748;0.739743;0.732739
1.5522;0.907899;0.733951;0.725668
1.6277;0.901951;0.728188;0.718304
1.7032;0.896003;0.722510;0.710966
1.7789;0.889858;0.716991;0.703971
1.8549;0.883418;0.711487;0.697561
1.9309;0.876977;0.706146;0.691910
2.0071;0.870340;0.700837;0.687069
2.0833;0.863703;0.695530;0.683295
2.1595;0.857065;0.690382;0.681444
2.2361;0.850034;0.685253;0.683017
2.3125;0.843200;0.680347;0.689901
2.3888;0.836464;0.675715;0.703921
2.4653;0.829531;0.671368;0.725881
2.5409;0.823485;0.668282;0.754944
2.6155;0.818423;0.665595;0.788617
2.6888;0.814643;0.663762;0.823432
2.7614;0.811551;0.662452;0.855835
2.8329;0.809544;0.661209;0.883305
2.9044;0.807536;0.660427;0.904791
2.9755;0.805923;0.659641;0.920743
3.0464;0.804506;0.658991;0.932535
3.1169;0.803484;0.658341;0.941761
3.1878;0.802067;0.658081;0.949374
3.2582;0.801143;0.657750;0.955768
3.3285;0.800318;0.657296;0.960965
3.3986;0.799689;0.657101;0.964827
3.4687;0.799061;0.656971;0.967512
3.5383;0.798925;0.656647;0.969474
3.6092;0.797508;0.656317;0.971202
3.6791;0.797077;0.656446;0.972998
3.7490;0.796645;0.657101;0.974931
3.8191;0.796017;0.655927;0.976926
