-1.372822;1.023943;0.964120;0.948913
-1.329843;1.023507;0.962789;0.948913
-1.286865;1.023064;0.961453;0.948913
-1.243886;1.022553;0.960067;0.948913
-1.200908;1.021975;0.958622;0.948913
-1.157929;1.021469;0.957072;0.948913
-1.114951;1.020934;0.955454;0.948913
-1.071972;1.020378;0.953779;0.948913
-1.028994;1.019822;0.952078;0.948913
-0.986015;1.019161;0.949493;0.948913
-0.943036;1.018503;0.947459;0.948913
-0.900058;1.017832;0.945287;0.947978
-0.857079;1.017162;0.942944;0.948008
-0.814101;1.016504;0.940407;0.949008
-0.771122;1.015843;0.937681;0.948748
-0.728144;1.015158;0.934823;0.946845
-0.685165;1.014412;0.932039;0.942140
-0.642187;1.013607;0.929298;0.937600
-0.599208;1.012765;0.926502;0.934668
-0.556230;1.011876;0.923669;0.931031
-0.513251;1.010952;0.920727;0.928314
-0.470273;1.009987;0.917701;0.925195
-0.427294;1.008981;0.914582;0.922015
-0.384316;1.007937;0.911355;0.918948
-0.341337;1.006851;0.908013;0.915835
-0.298359;1.005724;0.904560;0.912605
-0.255380;1.004554;0.900995;0.909259
-0.212402;1.003340;0.897320;0.905829
-0.169423;1.002081;0.893543;0.902355
-0.126445;1.000777;0.889668;0.898826
-0.083466;0.999427;0.885702;0.895290
-0.040488;0.998030;0.881654;0.891639
0.002491;0.996582;0.877531;0.887755
0.045469;0.995082;0.873343;0.883630
0.088448;0.993528;0.869100;0.879505
0.131426;0.991921;0.864812;0.875318
0.174405;0.990258;0.860490;0.871024
0.217383;0.988540;0.856144;0.866766
0.260362;0.986768;0.851783;0.862600
0.303340;0.984940;0.847416;0.858235
0.346319;0.983057;0.843052;0.853941
0.389297;0.981119;0.838698;0.849661
0.432276;0.979125;0.834363;0.845372
0.475254;0.977077;0.830055;0.841128
0.518233;0.974973;0.825775;0.836820
0.561211;0.972814;0.821529;0.832564
0.604190;0.970600;0.817319;0.828295
0.647168;0.968332;0.813149;0.824104
0.690147;0.966011;0.809022;0.819968
0.733125;0.963637;0.804939;0.815893
0.776104;0.961213;0.800901;0.811985
0.819082;0.958738;0.796907;0.808052
0.862061;0.956213;0.792958;0.804204
0.905039;0.953637;0.789054;0.800215
0.948018;0.951011;0.785196;0.796271
0.990996;0.948335;0.781382;0.792437
1.033975;0.945610;0.777614;0.788669
1.076953;0.942838;0.773889;0.785061
1.119932;0.940018;0.770210;0.781227
1.162910;0.937148;0.766574;0.777457
1.205889;0.934232;0.762979;0.773836
1.248867;0.931271;0.759424;0.770358
1.291846;0.928270;0.755903;0.767213
1.334824;0.925235;0.752413;0.764661
1.377803;0.922173;0.748953;0.762489
1.420781;0.919079;0.745524;0.760027
1.463760;0.915946;0.742128;0.757005
1.506738;0.912757;0.738767;0.752687
1.549717;0.909516;0.735438;0.748657
1.592695;0.906229;0.732138;0.745019
1.635674;0.902891;0.728867;0.741085
1.678652;0.899506;0.725623;0.737475
1.721631;0.896067;0.722408;0.733297
1.764609;0.892572;0.719222;0.728976
1.807588;0.889023;0.716063;0.724756
1.850566;0.885424;0.712930;0.720845
1.893545;0.881782;0.709822;0.717538
1.936523;0.878097;0.706738;0.714192
1.979502;0.874374;0.703679;0.711274
2.022480;0.870619;0.700646;0.708736
2.065459;0.866835;0.697643;0.706511
2.108437;0.863025;0.694676;0.704499
2.151416;0.859193;0.691753;0.702760
2.194394;0.855341;0.688884;0.701336
2.237373;0.851486;0.686077;0.701010
2.280351;0.847645;0.683348;0.702078
2.323330;0.843823;0.680712;0.703553
2.366308;0.840042;0.678189;0.706784
2.409287;0.836327;0.675799;0.711869
2.452265;0.832718;0.673564;0.720099
2.495244;0.829271;0.671505;0.732645
2.538222;0.826028;0.669636;0.748428
2.581201;0.823034;0.667966;0.767802
2.624179;0.820319;0.666501;0.789461
2.667158;0.817904;0.665238;0.812664
2.710136;0.815786;0.664165;0.835740
2.753115;0.813957;0.663267;0.858166
2.796093;0.812394;0.662516;0.878790
2.839072;0.811060;0.661894;0.896510
2.882050;0.809905;0.661375;0.910446
2.925029;0.808915;0.660937;0.923158
2.968007;0.808050;0.660560;0.932928
3.010986;0.807283;0.660226;0.940516
3.053964;0.806593;0.659930;0.946506
3.096943;0.805955;0.659661;0.950477
3.139921;0.805350;0.659419;0.953123
3.182900;0.804780;0.659200;0.955770
3.225878;0.804257;0.658999;0.959483
3.268857;0.803776;0.658815;0.962680
3.311835;0.803339;0.658645;0.966114
3.354814;0.802944;0.658492;0.969313
3.397792;0.802580;0.658352;0.971818
3.440771;0.802238;0.658224;0.973458
3.483749;0.801908;0.658107;0.974444
3.526728;0.801574;0.658001;0.974068
3.569706;0.801213;0.657911;0.972016
3.612685;0.800858;0.657838;0.972461
3.655663;0.800541;0.657784;0.975397
3.698642;0.800236;0.657741;0.976339
3.741620;0.799953;0.657699;0.978077
3.784599;0.799685;0.657643;0.979192
3.827577;0.799440;0.657584;0.980964
3.870556;0.799221;0.657530;0.983051
3.913534;0.799013;0.657475;0.983828
3.956513;0.798803;0.657413;0.983730
3.999491;0.798579;0.657326;0.982636
4.042470;0.798367;0.657244;0.983594
4.085448;0.798180;0.657176;0.985460
4.128427;0.798022;0.657128;0.987768
4.171405;0.797896;0.657098;0.990183
4.214384;0.797792;0.657079;0.991921
4.257362;0.797684;0.657051;0.991670
4.300341;0.797571;0.657018;0.991230
4.343319;0.797467;0.656993;0.991964
4.386298;0.797345;0.656973;0.990505
4.429276;0.797195;0.656953;0.988348
4.472255;0.797021;0.656900;0.986530
4.515233;0.796817;0.656803;0.984183
