-1.417100;0.961653;1.027444
-1.347000;0.961582;1.026815
-1.276600;0.959805;1.025891
-1.206200;0.957727;1.024967
-1.135700;0.955636;1.023945
-1.065200;0.953308;1.022922
-0.994600;0.950762;1.021801
-0.923900;0.948054;1.020582
-0.853200;0.945262;1.019362
-0.782400;0.942010;1.018044
-0.711530;0.938836;1.016657
-0.640570;0.935117;1.015182
-0.569590;0.931250;1.013686
-0.498440;0.927159;1.012024
-0.427200;0.922602;1.010272
-0.355880;0.917833;1.008442
-0.284420;0.912762;1.006474
-0.212850;0.907329;1.004397
-0.141130;0.901515;1.002173
-0.069280;0.895502;0.999821
0.002670;0.889132;0.997370
0.074830;0.882568;0.994712
0.147120;0.875708;0.991926
0.219590;0.868743;0.988963
0.292220;0.861505;0.985843
0.365010;0.854309;0.982564
0.437970;0.846918;0.979119
0.511110;0.839557;0.975496
0.584410;0.832166;0.971715
0.657880;0.824967;0.967767
0.731530;0.817795;0.963641
0.805350;0.810658;0.959348
0.879300;0.803708;0.954927
0.953400;0.796791;0.950359
1.027700;0.790042;0.945593
1.102200;0.783403;0.940630
1.176700;0.776858;0.935667
1.251500;0.770414;0.930409
1.326400;0.764081;0.925052
1.401500;0.757903;0.919499
1.476200;0.751828;0.914339
1.551600;0.745709;0.908490
1.627100;0.739824;0.902542
1.702800;0.733962;0.896397
1.778500;0.728262;0.890252
1.854500;0.722516;0.883812
1.930400;0.717065;0.877470
2.006700;0.711500;0.870734
2.082900;0.706159;0.864097
2.159300;0.700716;0.857262
2.235800;0.695482;0.850329
2.312600;0.690268;0.843101
2.389100;0.685074;0.836168
2.466000;0.680036;0.828841
2.542800;0.675006;0.821613
2.619700;0.670142;0.814286
2.696300;0.665485;0.807255
2.773100;0.660779;0.800026
2.849800;0.656408;0.792896
2.926300;0.651862;0.785963
3.002700;0.647718;0.779129
3.079500;0.643581;0.771901
3.156200;0.639275;0.764771
3.233100;0.635174;0.757444
3.310000;0.631075;0.750117
3.387000;0.626930;0.742692
3.464300;0.622539;0.734971
3.541500;0.618483;0.727348
3.618800;0.614250;0.719627
3.696300;0.609968;0.711709
3.774000;0.605892;0.703594
3.851800;0.601631;0.695381
3.929200;0.597389;0.687562
4.007200;0.593098;0.679151
4.085100;0.588820;0.670839
4.163300;0.584367;0.662232
4.241300;0.580122;0.653821
4.319800;0.575519;0.644918
4.398100;0.571176;0.636212
4.476700;0.566664;0.627211
4.555400;0.561987;0.618111
4.634100;0.557381;0.609011
4.713100;0.552736;0.599615
4.792000;0.547867;0.590318
4.870900;0.542952;0.581021
4.950000;0.537946;0.571527
5.029200;0.533127;0.561934
5.108500;0.528035;0.552243
5.187700;0.522900;0.542651
5.267300;0.517614;0.532664
5.347100;0.512054;0.522481
5.427000;0.506169;0.512199
5.506900;0.500256;0.501916
5.587200;0.494137;0.491240
5.667400;0.487822;0.480663
5.747700;0.481533;0.469987
5.828200;0.474989;0.459114
5.909000;0.467696;0.447945
5.989900;0.460609;0.436678
6.070900;0.453004;0.425312
6.151800;0.445050;0.414045
6.233400;0.436932;0.402088
6.315100;0.427935;0.390033
6.396800;0.419221;0.377978
6.479000;0.409704;0.365430
6.561200;0.400201;0.352882
6.643800;0.390141;0.339941
6.726400;0.380632;0.326999
6.809200;0.370723;0.313860
6.891800;0.361313;0.300918
6.974800;0.351614;0.287582
7.058200;0.342143;0.273853
7.141600;0.333199;0.260123
7.225200;0.324625;0.246196
7.309000;0.316560;0.232072
7.393200;0.308749;0.217554
7.477400;0.301479;0.203036
7.561700;0.294400;0.188420
7.645900;0.287949;0.173902
7.730600;0.281823;0.158892
7.815300;0.276211;0.143881
